,model,x,f,e
301,"2-layer, AMSGrad-only",0.11250000000000004,0.2526065,0.08635369
302,"2-layer, AMSGrad-only",0.11875000000000002,0.26987797,0.089222595
303,"2-layer, AMSGrad-only",0.125,0.28773403,0.09186874
304,"2-layer, AMSGrad-only",0.13125000000000003,0.3062197,0.094292484
305,"2-layer, AMSGrad-only",0.1375,0.3253837,0.096484184
306,"2-layer, AMSGrad-only",0.14375000000000004,0.3452797,0.0984495
307,"2-layer, AMSGrad-only",0.15000000000000002,0.365968,0.10016873
308,"2-layer, AMSGrad-only",0.15625,0.38751787,0.10164372
309,"2-layer, AMSGrad-only",0.16250000000000003,0.41001114,0.10286915
310,"2-layer, AMSGrad-only",0.16875,0.43354684,0.10383022
311,"2-layer, AMSGrad-only",0.17500000000000004,0.45824784,0.10452602
312,"2-layer, AMSGrad-only",0.18125000000000002,0.48427063,0.10493538
313,"2-layer, AMSGrad-only",0.1875,0.511819,0.105047956
314,"2-layer, AMSGrad-only",0.19375000000000003,0.54116327,0.10484352
315,"2-layer, AMSGrad-only",0.2,0.5726678,0.10430025
316,"2-layer, AMSGrad-only",0.20625000000000004,0.6068294,0.10339658
317,"2-layer, AMSGrad-only",0.21250000000000002,0.6443294,0.10208725
318,"2-layer, AMSGrad-only",0.21875,0.6861039,0.1003288
319,"2-layer, AMSGrad-only",0.22500000000000003,0.7334299,0.09807103
320,"2-layer, AMSGrad-only",0.23125,0.78803056,0.09524223
321,"2-layer, AMSGrad-only",0.23750000000000004,0.8521868,0.091766626
322,"2-layer, AMSGrad-only",0.24375000000000002,0.92884684,0.08753362
323,"2-layer, AMSGrad-only",0.25,1.0217327,0.08243339
324,3-layer,-0.25,0.21414578,0.094936594
325,3-layer,-0.24375,0.20845273,0.097156964
326,3-layer,-0.2375,0.20294178,0.09907098
327,3-layer,-0.23125,0.19759104,0.10069163
328,3-layer,-0.225,0.19238289,0.10203328
329,3-layer,-0.21875,0.18730234,0.10311152
330,3-layer,-0.2125,0.18233569,0.1039391
331,3-layer,-0.20625,0.1774698,0.10452088
332,3-layer,-0.2,0.17269194,0.10486634
333,3-layer,-0.19375,0.16798943,0.10498212
334,3-layer,-0.1875,0.1633498,0.10487321
335,3-layer,-0.18125,0.15876049,0.104548134
336,3-layer,-0.175,0.15420932,0.10399944
337,3-layer,-0.16875,0.14968416,0.103238344
338,3-layer,-0.16249999999999998,0.14517313,0.10226606
339,3-layer,-0.15625,0.14066476,0.10108241
340,3-layer,-0.15,0.13614789,0.09968666
341,3-layer,-0.14375,0.13161162,0.098081805
342,3-layer,-0.1375,0.1270456,0.09626281
343,3-layer,-0.13124999999999998,0.12243954,0.09423373
344,3-layer,-0.125,0.11778382,0.09198761
345,3-layer,-0.11875,0.1130688,0.08952674
346,3-layer,-0.11249999999999999,0.10828536,0.08684838
347,3-layer,-0.10624999999999998,0.103424534,0.08395516
348,3-layer,-0.09999999999999998,0.0984775,0.080833614
349,3-layer,-0.09375,0.093435675,0.077489994
350,3-layer,-0.0875,0.08829066,0.07392073
351,3-layer,-0.08124999999999999,0.08303394,0.07012296
352,3-layer,-0.07499999999999998,0.07765736,0.066084854
353,3-layer,-0.06874999999999998,0.07215258,0.06182351
354,3-layer,-0.0625,0.06651126,0.057311222
355,3-layer,-0.056249999999999994,0.0607254,0.052561782
356,3-layer,-0.04999999999999999,0.05478692,0.047564495
357,3-layer,-0.04374999999999998,0.048688293,0.042315193
358,3-layer,-0.03749999999999998,0.042422734,0.036817163
359,3-layer,-0.03125,0.035985753,0.031060392
360,3-layer,-0.024999999999999994,0.029377915,0.02504588
361,3-layer,-0.01874999999999999,0.022613896,0.018759543
362,3-layer,-0.012499999999999983,0.015756259,0.012212392
363,3-layer,-0.006249999999999978,0.009106874,0.005393451
364,3-layer,0.0,0.0050752014,0.0017215565
365,3-layer,0.006250000000000033,0.00939662,0.009083796
366,3-layer,0.012500000000000011,0.016835444,0.01674125
367,3-layer,0.01874999999999999,0.025012031,0.024683893
368,3-layer,0.025000000000000022,0.03362979,0.03291738
369,3-layer,0.03125,0.042633757,0.041444186
370,3-layer,0.03750000000000003,0.052018784,0.05026673
371,3-layer,0.04375000000000001,0.061796267,0.05938653
372,3-layer,0.050000000000000044,0.07198497,0.06881049
373,3-layer,0.05625000000000002,0.08260831,0.078540295
374,3-layer,0.0625,0.09369308,0.08857629
375,3-layer,0.06875000000000003,0.10526923,0.0989243
376,3-layer,0.07500000000000001,0.11736961,0.1095829
377,3-layer,0.08125000000000004,0.13003021,0.12055379
378,3-layer,0.08750000000000002,0.14329013,0.13184525
379,3-layer,0.09375,0.15719178,0.14344871
380,3-layer,0.10000000000000003,0.17178112,0.15537462
381,3-layer,0.10625000000000001,0.18710816,0.16761252
382,3-layer,0.11250000000000004,0.20322654,0.18017773
383,3-layer,0.11875000000000002,0.22019437,0.19304557
384,3-layer,0.125,0.23807439,0.20622897
385,3-layer,0.13125000000000003,0.2569341,0.219725
386,3-layer,0.1375,0.2768464,0.23352894
387,3-layer,0.14375000000000004,0.29788938,0.24762124
388,3-layer,0.15000000000000002,0.32014728,0.2620067
389,3-layer,0.15625,0.34371066,0.27666667
390,3-layer,0.16250000000000003,0.3686774,0.2915951
391,3-layer,0.16875,0.39515325,0.306769
392,3-layer,0.17500000000000004,0.42325342,0.322159
393,3-layer,0.18125000000000002,0.4531046,0.33774155
394,3-layer,0.1875,0.48484784,0.3534811
395,3-layer,0.19375000000000003,0.51864386,0.3693267
396,3-layer,0.2,0.55467904,0.38522273
397,3-layer,0.20625000000000004,0.5931774,0.4010985
398,3-layer,0.21250000000000002,0.63441694,0.4168555
399,3-layer,0.21875,0.67875457,0.43237954
400,3-layer,0.22500000000000003,0.7266656,0.44752166
401,3-layer,0.23125,0.7788031,0.4620902
402,3-layer,0.23750000000000004,0.8360909,0.47584304
403,3-layer,0.24375000000000002,0.89987004,0.4884578
404,3-layer,0.25,0.9721376,0.4995185
405,4-layer,-0.25,0.18382666,0.08447848
406,4-layer,-0.24375,0.1780169,0.08527229
407,4-layer,-0.2375,0.17259312,0.08607507
408,4-layer,-0.23125,0.16749872,0.08686638
409,4-layer,-0.225,0.16268453,0.087627575
410,4-layer,-0.21875,0.15810776,0.08834238
411,4-layer,-0.2125,0.15373108,0.088990316
412,4-layer,-0.20625,0.14952156,0.08956641
413,4-layer,-0.2,0.14545034,0.09005101
414,4-layer,-0.19375,0.14149176,0.090435535
415,4-layer,-0.1875,0.13762307,0.09070444
416,4-layer,-0.18125,0.133824,0.090845354
417,4-layer,-0.175,0.13007635,0.09086037
418,4-layer,-0.16875,0.12636364,0.090721816
419,4-layer,-0.16249999999999998,0.12267107,0.09043612
420,4-layer,-0.15625,0.11898497,0.08998127
421,4-layer,-0.15,0.11529295,0.08935913
422,4-layer,-0.14375,0.111583434,0.08855398
423,4-layer,-0.1375,0.10784571,0.08755617
424,4-layer,-0.13124999999999998,0.10406971,0.08636488
425,4-layer,-0.125,0.1002459,0.08496447
426,4-layer,-0.11875,0.09636527,0.08335583
427,4-layer,-0.11249999999999999,0.09241911,0.08151704
428,4-layer,-0.10624999999999998,0.08839899,0.07945138
429,4-layer,-0.09999999999999998,0.08429676,0.07715061
430,4-layer,-0.09375,0.08010428,0.0745983
431,4-layer,-0.0875,0.075813614,0.07178981
432,4-layer,-0.08124999999999999,0.07141681,0.068717346
433,4-layer,-0.07499999999999998,0.06690598,0.06537204
434,4-layer,-0.06874999999999998,0.06227296,0.06174317
435,4-layer,-0.0625,0.05750983,0.057826318
436,4-layer,-0.056249999999999994,0.052608397,0.053611517
437,4-layer,-0.04999999999999999,0.047560506,0.04908903
438,4-layer,-0.04374999999999998,0.0423583,0.04424335
439,4-layer,-0.03749999999999998,0.036994472,0.039076254
440,4-layer,-0.03125,0.03146328,0.03357278
441,4-layer,-0.024999999999999994,0.025763292,0.027720334
442,4-layer,-0.01874999999999999,0.019904528,0.021513298
443,4-layer,-0.012499999999999983,0.0139368605,0.014940575
444,4-layer,-0.006249999999999978,0.008108037,0.007996077
445,4-layer,0.0,0.004421835,0.0006737148
446,4-layer,0.006250000000000033,0.008114662,0.0070835603
447,4-layer,0.012500000000000011,0.014689766,0.015220356
448,4-layer,0.01874999999999999,0.021959785,0.023778524
449,4-layer,0.025000000000000022,0.029659936,0.032764584
450,4-layer,0.03125,0.037745237,0.042191096
451,4-layer,0.03750000000000003,0.046215914,0.052071966
452,4-layer,0.04375000000000001,0.055087104,0.06241317
453,4-layer,0.050000000000000044,0.06438105,0.07322766
454,4-layer,0.05625000000000002,0.07412444,0.08452922
455,4-layer,0.0625,0.08434746,0.09632451
456,4-layer,0.06875000000000003,0.09508324,0.108631484
457,4-layer,0.07500000000000001,0.10636784,0.121454425
458,4-layer,0.08125000000000004,0.11824034,0.13480526
