,name,explosion,model,num
204,2layer-25,2937,2-layer,25
205,2layer-26,1334,2-layer,26
206,2layer-27,1615,2-layer,27
207,2layer-28,2197,2-layer,28
208,2layer-29,1336,2-layer,29
209,2layer-30,1230,2-layer,30
210,3layer-01,4915,3-layer,1
211,3layer-02,6001,3-layer,2
212,3layer-03,4216,3-layer,3
213,3layer-04,3273,3-layer,4
214,3layer-05,6001,3-layer,5
215,3layer-06,6001,3-layer,6
216,3layer-07,4401,3-layer,7
217,3layer-08,4808,3-layer,8
218,3layer-09,6001,3-layer,9
219,3layer-10,2404,3-layer,10
220,3layer-11,4053,3-layer,11
221,3layer-12,5362,3-layer,12
222,3layer-13,1974,3-layer,13
223,3layer-14,1341,3-layer,14
224,3layer-15,1163,3-layer,15
225,3layer-16,5062,3-layer,16
226,3layer-17,6001,3-layer,17
227,3layer-18,1915,3-layer,18
228,3layer-19,6001,3-layer,19
229,3layer-20,3123,3-layer,20
230,3layer-21,2138,3-layer,21
231,3layer-22,6001,3-layer,22
232,3layer-23,4588,3-layer,23
233,3layer-24,1719,3-layer,24
234,3layer-25,1795,3-layer,25
235,3layer-26,1270,3-layer,26
236,3layer-27,2338,3-layer,27
237,3layer-28,1692,3-layer,28
238,3layer-29,2445,3-layer,29
239,3layer-30,1176,3-layer,30
240,4layer-01,2690,4-layer,1
241,4layer-02,3211,4-layer,2
242,4layer-03,6001,4-layer,3
243,4layer-04,2806,4-layer,4
244,4layer-05,4989,4-layer,5
245,4layer-06,4490,4-layer,6
246,4layer-07,2462,4-layer,7
247,4layer-08,2187,4-layer,8
248,4layer-09,5090,4-layer,9
249,4layer-10,1900,4-layer,10
250,4layer-11,5745,4-layer,11
251,4layer-12,2368,4-layer,12
252,4layer-13,2565,4-layer,13
253,4layer-14,5594,4-layer,14
254,4layer-15,2001,4-layer,15
255,4layer-16,5986,4-layer,16
256,4layer-17,2280,4-layer,17
257,4layer-18,2627,4-layer,18
258,4layer-19,1369,4-layer,19
259,4layer-20,6001,4-layer,20
260,4layer-21,3821,4-layer,21
261,4layer-22,4599,4-layer,22
262,4layer-23,2346,4-layer,23
263,4layer-24,6001,4-layer,24
264,4layer-25,1744,4-layer,25
265,4layer-26,5635,4-layer,26
266,4layer-27,2472,4-layer,27
267,4layer-28,6001,4-layer,28
268,4layer-29,1712,4-layer,29
269,4layer-30,3462,4-layer,30
270,5layer-01,3363,5-layer,1
271,5layer-02,1504,5-layer,2
272,5layer-03,6001,5-layer,3
273,5layer-04,2195,5-layer,4
274,5layer-05,6001,5-layer,5
275,5layer-06,1949,5-layer,6
276,5layer-07,5822,5-layer,7
277,5layer-08,6001,5-layer,8
278,5layer-09,4212,5-layer,9
279,5layer-10,6001,5-layer,10
280,5layer-11,2816,5-layer,11
281,5layer-12,6001,5-layer,12
282,5layer-13,6001,5-layer,13
283,5layer-14,3998,5-layer,14
284,5layer-15,6001,5-layer,15
285,5layer-16,1907,5-layer,16
286,5layer-17,6001,5-layer,17
287,5layer-18,6001,5-layer,18
288,5layer-19,1942,5-layer,19
289,5layer-20,5746,5-layer,20
290,5layer-21,2275,5-layer,21
291,5layer-22,4233,5-layer,22
292,5layer-23,4329,5-layer,23
293,5layer-24,6001,5-layer,24
294,5layer-25,5744,5-layer,25
295,5layer-26,6001,5-layer,26
296,5layer-27,4101,5-layer,27
297,5layer-28,4506,5-layer,28
298,5layer-29,6001,5-layer,29
299,5layer-30,6001,5-layer,30
300,baseline-01,1548,baseline,1
301,baseline-02,1334,baseline,2
302,baseline-03,1391,baseline,3
303,baseline-04,1725,baseline,4
304,baseline-05,1259,baseline,5
305,baseline-06,1437,baseline,6
306,baseline-07,1295,baseline,7
307,baseline-08,2640,baseline,8
308,baseline-09,1478,baseline,9
309,baseline-10,2065,baseline,10
310,baseline-11,1462,baseline,11
311,baseline-12,1394,baseline,12
312,baseline-13,2168,baseline,13
313,baseline-14,1467,baseline,14
314,baseline-15,1292,baseline,15
315,baseline-16,1347,baseline,16
316,baseline-17,1365,baseline,17
317,baseline-18,1970,baseline,18
318,baseline-19,2611,baseline,19
319,baseline-20,1396,baseline,20
320,baseline-21,2058,baseline,21
321,baseline-22,1721,baseline,22
322,baseline-23,1486,baseline,23
323,baseline-24,2168,baseline,24
324,baseline-25,1807,baseline,25
325,baseline-26,1291,baseline,26
326,baseline-27,1435,baseline,27
327,baseline-28,1778,baseline,28
328,baseline-29,1846,baseline,29
329,baseline-30,1383,baseline,30
330,non_trainable_bessel-01,1649,non_trainable_bessel,1
331,non_trainable_bessel-02,1124,non_trainable_bessel,2
332,non_trainable_bessel-03,1142,non_trainable_bessel,3
333,non_trainable_bessel-04,1891,non_trainable_bessel,4
334,non_trainable_bessel-05,3535,non_trainable_bessel,5
335,non_trainable_bessel-06,1395,non_trainable_bessel,6
336,non_trainable_bessel-07,1424,non_trainable_bessel,7
337,non_trainable_bessel-08,1961,non_trainable_bessel,8
338,non_trainable_bessel-09,1780,non_trainable_bessel,9
339,non_trainable_bessel-10,4080,non_trainable_bessel,10
340,non_trainable_bessel-11,1813,non_trainable_bessel,11
341,non_trainable_bessel-12,1869,non_trainable_bessel,12
342,non_trainable_bessel-13,4070,non_trainable_bessel,13
343,non_trainable_bessel-14,2083,non_trainable_bessel,14
344,non_trainable_bessel-15,5789,non_trainable_bessel,15
345,non_trainable_bessel-16,3185,non_trainable_bessel,16
346,non_trainable_bessel-17,1914,non_trainable_bessel,17
347,non_trainable_bessel-18,1264,non_trainable_bessel,18
348,non_trainable_bessel-19,2183,non_trainable_bessel,19
349,non_trainable_bessel-20,1738,non_trainable_bessel,20
350,non_trainable_bessel-21,3242,non_trainable_bessel,21
351,non_trainable_bessel-22,1770,non_trainable_bessel,22
352,non_trainable_bessel-23,4978,non_trainable_bessel,23
353,non_trainable_bessel-24,1240,non_trainable_bessel,24
354,non_trainable_bessel-25,1717,non_trainable_bessel,25
355,non_trainable_bessel-26,2608,non_trainable_bessel,26
356,non_trainable_bessel-27,4802,non_trainable_bessel,27
357,non_trainable_bessel-28,1282,non_trainable_bessel,28
358,non_trainable_bessel-29,1470,non_trainable_bessel,29
359,non_trainable_bessel-30,1273,non_trainable_bessel,30
360,rescaling-01,2396,rescaling,1
361,rescaling-02,2124,rescaling,2
362,rescaling-03,2610,rescaling,3
363,rescaling-04,2308,rescaling,4
364,rescaling-05,5431,rescaling,5
365,rescaling-06,2045,rescaling,6
366,rescaling-07,1359,rescaling,7
367,rescaling-08,3143,rescaling,8
368,rescaling-09,5332,rescaling,9
369,rescaling-10,3624,rescaling,10
370,rescaling-11,1937,rescaling,11
371,rescaling-12,6001,rescaling,12
372,rescaling-13,2208,rescaling,13
373,rescaling-14,2858,rescaling,14
374,rescaling-15,1630,rescaling,15
375,rescaling-16,4360,rescaling,16
376,rescaling-17,1462,rescaling,17
377,rescaling-18,2919,rescaling,18
378,rescaling-19,3083,rescaling,19
379,rescaling-20,2482,rescaling,20
380,rescaling-21,1551,rescaling,21
381,rescaling-22,2808,rescaling,22
382,rescaling-23,2991,rescaling,23
383,rescaling-24,2782,rescaling,24
384,rescaling-25,1807,rescaling,25
385,rescaling-26,2134,rescaling,26
386,rescaling-27,2669,rescaling,27
387,rescaling-28,5265,rescaling,28
388,rescaling-29,2526,rescaling,29
389,rescaling-30,1426,rescaling,30
