,name,explosion,model,num
270,v2_l3_yes_rescaling_no_amsgrad_yes_ema_no_swa_wc-03,2457,v2-ema,3
271,v2_l3_yes_rescaling_no_amsgrad_yes_ema_no_swa_wc-04,3007,v2-ema,4
272,v2_l3_yes_rescaling_no_amsgrad_yes_ema_no_swa_wc-05,4226,v2-ema,5
273,v2_l3_yes_rescaling_no_amsgrad_yes_ema_no_swa_wc-06,3460,v2-ema,6
274,v2_l3_yes_rescaling_no_amsgrad_yes_ema_no_swa_wc-07,2900,v2-ema,7
275,v2_l3_yes_rescaling_no_amsgrad_yes_ema_no_swa_wc-08,3488,v2-ema,8
276,v2_l3_yes_rescaling_no_amsgrad_yes_ema_no_swa_wc-09,1200,v2-ema,9
277,v2_l3_yes_rescaling_no_amsgrad_yes_ema_no_swa_wc-10,3683,v2-ema,10
278,v2_l3_yes_rescaling_no_amsgrad_yes_ema_no_swa_wc-11,1877,v2-ema,11
279,v2_l3_yes_rescaling_no_amsgrad_yes_ema_no_swa_wc-12,2047,v2-ema,12
280,v2_l3_yes_rescaling_no_amsgrad_yes_ema_no_swa_wc-13,1624,v2-ema,13
281,v2_l3_yes_rescaling_no_amsgrad_yes_ema_no_swa_wc-14,1367,v2-ema,14
282,v2_l3_yes_rescaling_no_amsgrad_yes_ema_no_swa_wc-15,2485,v2-ema,15
283,v2_l3_yes_rescaling_no_amsgrad_yes_ema_no_swa_wc-16,1720,v2-ema,16
284,v2_l3_yes_rescaling_no_amsgrad_yes_ema_no_swa_wc-17,1518,v2-ema,17
285,v2_l3_yes_rescaling_no_amsgrad_yes_ema_no_swa_wc-18,3943,v2-ema,18
286,v2_l3_yes_rescaling_no_amsgrad_yes_ema_no_swa_wc-19,1427,v2-ema,19
287,v2_l3_yes_rescaling_no_amsgrad_yes_ema_no_swa_wc-20,1504,v2-ema,20
288,v2_l3_yes_rescaling_no_amsgrad_yes_ema_no_swa_wc-21,1742,v2-ema,21
289,v2_l3_yes_rescaling_no_amsgrad_yes_ema_no_swa_wc-22,2273,v2-ema,22
290,v2_l3_yes_rescaling_no_amsgrad_yes_ema_no_swa_wc-23,777,v2-ema,23
291,v2_l3_yes_rescaling_no_amsgrad_yes_ema_no_swa_wc-24,1990,v2-ema,24
292,v2_l3_yes_rescaling_no_amsgrad_yes_ema_no_swa_wc-25,1825,v2-ema,25
293,v2_l3_yes_rescaling_no_amsgrad_yes_ema_no_swa_wc-26,1444,v2-ema,26
294,v2_l3_yes_rescaling_no_amsgrad_yes_ema_no_swa_wc-27,1344,v2-ema,27
295,v2_l3_yes_rescaling_no_amsgrad_yes_ema_no_swa_wc-28,2205,v2-ema,28
296,v2_l3_yes_rescaling_no_amsgrad_yes_ema_no_swa_wc-29,1805,v2-ema,29
297,v2_l3_yes_rescaling_no_amsgrad_yes_ema_no_swa_wc-30,2147,v2-ema,30
298,v2_l3_yes_rescaling_yes_amsgrad_no_ema_no_swa_wc-01,5852,v2-amsgrad,1
299,v2_l3_yes_rescaling_yes_amsgrad_no_ema_no_swa_wc-02,2198,v2-amsgrad,2
300,v2_l3_yes_rescaling_yes_amsgrad_no_ema_no_swa_wc-03,2816,v2-amsgrad,3
301,v2_l3_yes_rescaling_yes_amsgrad_no_ema_no_swa_wc-04,1733,v2-amsgrad,4
302,v2_l3_yes_rescaling_yes_amsgrad_no_ema_no_swa_wc-05,3345,v2-amsgrad,5
303,v2_l3_yes_rescaling_yes_amsgrad_no_ema_no_swa_wc-06,2269,v2-amsgrad,6
304,v2_l3_yes_rescaling_yes_amsgrad_no_ema_no_swa_wc-07,5993,v2-amsgrad,7
305,v2_l3_yes_rescaling_yes_amsgrad_no_ema_no_swa_wc-08,2204,v2-amsgrad,8
306,v2_l3_yes_rescaling_yes_amsgrad_no_ema_no_swa_wc-09,1454,v2-amsgrad,9
307,v2_l3_yes_rescaling_yes_amsgrad_no_ema_no_swa_wc-10,6001,v2-amsgrad,10
308,v2_l3_yes_rescaling_yes_amsgrad_no_ema_no_swa_wc-11,3810,v2-amsgrad,11
309,v2_l3_yes_rescaling_yes_amsgrad_no_ema_no_swa_wc-12,5211,v2-amsgrad,12
310,v2_l3_yes_rescaling_yes_amsgrad_no_ema_no_swa_wc-13,3788,v2-amsgrad,13
311,v2_l3_yes_rescaling_yes_amsgrad_no_ema_no_swa_wc-14,2868,v2-amsgrad,14
312,v2_l3_yes_rescaling_yes_amsgrad_no_ema_no_swa_wc-15,1061,v2-amsgrad,15
313,v2_l3_yes_rescaling_yes_amsgrad_no_ema_no_swa_wc-16,2456,v2-amsgrad,16
314,v2_l3_yes_rescaling_yes_amsgrad_no_ema_no_swa_wc-17,3156,v2-amsgrad,17
315,v2_l3_yes_rescaling_yes_amsgrad_no_ema_no_swa_wc-18,1308,v2-amsgrad,18
316,v2_l3_yes_rescaling_yes_amsgrad_no_ema_no_swa_wc-19,1869,v2-amsgrad,19
317,v2_l3_yes_rescaling_yes_amsgrad_no_ema_no_swa_wc-20,3798,v2-amsgrad,20
318,v2_l3_yes_rescaling_yes_amsgrad_no_ema_no_swa_wc-21,1273,v2-amsgrad,21
319,v2_l3_yes_rescaling_yes_amsgrad_no_ema_no_swa_wc-22,2275,v2-amsgrad,22
320,v2_l3_yes_rescaling_yes_amsgrad_no_ema_no_swa_wc-23,3500,v2-amsgrad,23
321,v2_l3_yes_rescaling_yes_amsgrad_no_ema_no_swa_wc-24,2799,v2-amsgrad,24
322,v2_l3_yes_rescaling_yes_amsgrad_no_ema_no_swa_wc-25,1062,v2-amsgrad,25
323,v2_l3_yes_rescaling_yes_amsgrad_no_ema_no_swa_wc-26,1137,v2-amsgrad,26
324,v2_l3_yes_rescaling_yes_amsgrad_no_ema_no_swa_wc-27,1145,v2-amsgrad,27
325,v2_l3_yes_rescaling_yes_amsgrad_no_ema_no_swa_wc-28,1172,v2-amsgrad,28
326,v2_l3_yes_rescaling_yes_amsgrad_no_ema_no_swa_wc-29,2350,v2-amsgrad,29
327,v2_l3_yes_rescaling_yes_amsgrad_no_ema_no_swa_wc-30,1272,v2-amsgrad,30
328,v3_l3-11,1895,v3_l3,11
329,v1_l3-01,1874,v1_l3,1
330,v1_l3-02,2361,v1_l3,2
331,v1_l3-03,2901,v1_l3,3
332,v1_l3-04,1782,v1_l3,4
333,v1_l3-05,1579,v1_l3,5
334,v1_l3-06,1255,v1_l3,6
335,v1_l3-07,3208,v1_l3,7
336,v1_l3-08,3068,v1_l3,8
337,v1_l3-09,1400,v1_l3,9
338,v1_l3-10,1031,v1_l3,10
339,v1_l3-11,2698,v1_l3,11
340,v1_l3-12,3427,v1_l3,12
341,v1_l3-13,1537,v1_l3,13
342,v1_l3-14,1158,v1_l3,14
343,v1_l3-15,842,v1_l3,15
344,v1_l3-16,2560,v1_l3,16
345,v1_l3-17,1922,v1_l3,17
346,v1_l3-18,1356,v1_l3,18
347,v1_l3-19,1372,v1_l3,19
348,v1_l3-20,2361,v1_l3,20
349,v1_l3-21,986,v1_l3,21
350,v1_l3-22,3662,v1_l3,22
351,v1_l3-23,900,v1_l3,23
352,v1_l3-24,3081,v1_l3,24
353,v1_l3-25,983,v1_l3,25
354,v1_l3-26,1071,v1_l3,26
355,v1_l3-27,1959,v1_l3,27
356,v1_l3-28,1089,v1_l3,28
357,v1_l3-29,2475,v1_l3,29
358,v1_l3-30,1757,v1_l3,30
359,v2_l2-01,1760,v2_l2,1
360,v2_l2-02,6001,v2_l2,2
361,v2_l2-03,4377,v2_l2,3
362,v2_l2-04,1061,v2_l2,4
363,v2_l2-05,5205,v2_l2,5
364,v2_l2-06,1937,v2_l2,6
365,v2_l2-07,3754,v2_l2,7
366,v2_l2-08,6001,v2_l2,8
367,v2_l2-09,2819,v2_l2,9
368,v2_l2-10,2640,v2_l2,10
